,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
shape_k,3.6769013076710744,0.9200236728430979,2.348105670817643,5.2821561947645,5397.2022037314955,4559.2768532571945,1.0008577469682864,0.012191281821716688,0.010173284817821327
mu_approach[SAVR],2.7360514668241267,0.1332382456686119,2.5630764577648937,2.9777383727997475,4967.977602614897,3285.0784468848938,1.0010298297212525,0.002154890237535669,0.0025428927552056993
mu_approach[TAVR],3.0380123038418616,0.37548095083867544,2.4536170895301903,3.6536066814335535,7636.986358931601,5450.125335973813,1.0004786015719407,0.004317228707849805,0.004159083926572397
mu_approach[ViV-TAVR],3.0116120149516075,0.3924914128469703,2.39314887043326,3.6438023120567764,7247.277232073112,5171.8926183855065,1.0011608116052517,0.0046249288484877735,0.004725496508964589
tau_family,0.30169580143924984,0.23920416480344095,0.027669693419396593,0.761529743684095,3379.8504053712336,2849.1243842353574,1.0003005619948966,0.003503647439758293,0.0027966894832525775
beta_ppm,0.13954877548027694,0.25240104146361964,-0.24939478254118422,0.5622473089931451,6857.9074618937375,4821.43189493324,1.0000955619729357,0.003115607454641465,0.0030330619742074696
